residue_type,stereo_abs,stereo_rel,sample name,canonical smiles,InChI,type,doi,url,r doi,r url
,,,,Nc1ccccc1N,GEYOCULIXLDCMW-UHFFFAOYSA-N,1 starting mat,,,10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ,https://dx.doi.org/10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ
,,,,COC(=O)C(=O)C,CWKLZLBVOJRSOM-UHFFFAOYSA-N,2 reactant,,,10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ,https://dx.doi.org/10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ
,,,,CCOC(=O)C,XEKOWRVHYACXOJ-UHFFFAOYSA-N,3 solvent,,,10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ,https://dx.doi.org/10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ
,,,PH2-R1-A,O=c1[nH]c2ccccc2nc1C,BMIMNRPAEPIYDN-UHFFFAOYSA-N,4 product,10.14272/BMIMNRPAEPIYDN-UHFFFAOYSA-N.2,https://dx.doi.org/10.14272/BMIMNRPAEPIYDN-UHFFFAOYSA-N.2,10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ,https://dx.doi.org/10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ
,,,,NC(c1ccccc1)C(=O)O,ZGUNAGUHMKGQNY-UHFFFAOYSA-N,1 starting mat,,,10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ.1,https://dx.doi.org/10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ.1
,,,,O=C(C(F)(F)F)OC(=O)C(F)(F)F,QAEDZJGFFMLHHQ-UHFFFAOYSA-N,2 reactant,,,10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ.1,https://dx.doi.org/10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ.1
,,,,FC(C1N=C(C(=O)O1)c1ccccc1)(F)F,GOUDGRBOWFMVRW-UHFFFAOYSA-N,4 product,10.14272/GOUDGRBOWFMVRW-UHFFFAOYSA-N,https://dx.doi.org/10.14272/GOUDGRBOWFMVRW-UHFFFAOYSA-N,10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ.1,https://dx.doi.org/10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ.1
,,,,CC(C(=O)O)N,QNAYBMKLOCPYGJ-UHFFFAOYSA-N,1 starting mat,,,10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ.2,https://dx.doi.org/10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ.2
,,,,O=C(C(F)(F)F)OC(=O)C(F)(F)F,QAEDZJGFFMLHHQ-UHFFFAOYSA-N,2 reactant,,,10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ.2,https://dx.doi.org/10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ.2
,,,,O=C1OC(N=C1C)C(F)(F)F,RJQVSFJIBQPCLA-UHFFFAOYSA-N,4 product,10.14272/RJQVSFJIBQPCLA-UHFFFAOYSA-N,https://dx.doi.org/10.14272/RJQVSFJIBQPCLA-UHFFFAOYSA-N,10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ.2,https://dx.doi.org/10.14272/reaction/SA-FUHFF-UHFFFADPSC-UHFFFADPSC-UHFFFADPSC-NUHFF-NUHFF-NUHFF-ZZZ.2
