residue_type,stereo_abs,stereo_rel,short label,canonical smiles,doi,url
,,,ABB-1,NNc1ccc(cc1)Br.Cl,,
,,,ABB-10,CC1=Nc2c(C1(C)C)cc(cc2)/C=C/C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,10.14272/ZUUYGWSDFRSKRQ-VOTSOKGWSA-N.1,https://dx.doi.org/10.14272/ZUUYGWSDFRSKRQ-VOTSOKGWSA-N.1
,,,ABB-11,C[N+]1=C(C)C(c2c1ccc(c2)/C=C/C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C)C.[I-],10.14272/SDCBGOXPGPFLQR-USRGLUTNSA-M,https://dx.doi.org/10.14272/SDCBGOXPGPFLQR-USRGLUTNSA-M
,,,ABB-12,CC1=Nc2c(C1(C)C)cc(cc2)/C=C/C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,,
,,,ABB-13,C[N+]1=C(C)C(c2c1ccc(c2)/C=C/C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C)C.[I-],10.14272/SYKRAWYPKJIMSD-USRGLUTNSA-M,https://dx.doi.org/10.14272/SYKRAWYPKJIMSD-USRGLUTNSA-M
,,,ABB-14,CC1=Nc2c(C1(C)C)cc(cc2)/C=C/C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,
,,,ABB-16,C[N+]1=C(C)C(c2c1ccc(c2)/C=C/C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C)C.[I-],10.14272/ZSDDWPUELQXIGH-BQYQJAHWSA-N.1,https://dx.doi.org/10.14272/ZSDDWPUELQXIGH-BQYQJAHWSA-N.1
,,,ABB-17,ClC1=C(CCC/C/1=C\C=C/1\N(C)c2c(C1(C)C)cc(cc2)/C=C/C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)/C=C/C1=[N+](C)c2c(C1(C)C)cc(cc2)/C=C/C(C(C(C(F)(F)F)(F)F)(F)F)(F)F.[Cl-],10.14272/WNUUONRSJXPAFK-RRCQUFFISA-M,https://dx.doi.org/10.14272/WNUUONRSJXPAFK-RRCQUFFISA-M
,,,ABB-2,Brc1ccc2c(c1)C(C)(C)C(=N2)C,10.14272/OUWLZEOAVCFTAQ-UHFFFAOYSA-N.1,https://dx.doi.org/10.14272/OUWLZEOAVCFTAQ-UHFFFAOYSA-N.1
,,,ABB-20,ClC1=C(CCC/C/1=C\C=C/1\N(C)c2c(C1(C)C)cc(cc2)/C=C/C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)/C=C/C1=[N+](C)c2c(C1(C)C)cc(cc2)/C=C/C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F.[Cl-],10.14272/HUXFCVSRCOCRDY-RRCQUFFISA-M,https://dx.doi.org/10.14272/HUXFCVSRCOCRDY-RRCQUFFISA-M
,,,ABB-21,ClC1=C(CCC/C/1=C\C=C/1\N(C)c2c(C1(C)C)cc(cc2)/C=C/C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)/C=C/C1=[N+](C)c2c(C1(C)C)cc(cc2)/C=C/C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F.[Cl-],10.14272/KZXZGOZMJSZXPO-RRCQUFFISA-M.1,https://dx.doi.org/10.14272/KZXZGOZMJSZXPO-RRCQUFFISA-M.1
,,,ABB-24,Ic1ccc2c(c1)C(C)(C)C(=N2)C,,
,,,ABB-25,CC(CCN1c2ccccc2C(/C/1=C\C=C\1/CCCC(=C1Cl)/C=C/C1=[N+](CCC(C)C)c2c(C1(C)C)cccc2)(C)C)C.[I-],10.14272/ILXNAEHMTRQPBH-UHFFFAOYSA-M.1,https://dx.doi.org/10.14272/ILXNAEHMTRQPBH-UHFFFAOYSA-M.1
,,,ABB-26,CC(CC[N+]1=C(C)C(c2c1cccc2)(C)C)C.[I-],,
,,,ABB-27,CC1=Nc2c(C1(C)C)cccc2,,
,,,ABB-30,NNc1ccccc1,,
,,,ABB-4,NNc1ccc(cc1)I,,
,,,AH1-2,C1CCCO1.FC(S(=O)(=O)[O-])(F)F.FC(S(=O)(=O)[O-])(F)F.CN1CCN(C1=N[C@@H]1CCCC[C@H]1N=C1N(C)CCN1C)C.CN1CCN(C1=N[C@@H]1CCCC[C@H]1N=C1N(C)CCN1C)C.[Zn+2],10.14272/RVBYFQZWFRUDCA-WAFKZFKJSA-L,https://dx.doi.org/10.14272/RVBYFQZWFRUDCA-WAFKZFKJSA-L
,,,AH-189,CC(N(C(C)C)/N=N/c1ccccc1Cl)C,10.14272/SNZVSILCRACJKX-CCEZHUSRSA-N,https://dx.doi.org/10.14272/SNZVSILCRACJKX-CCEZHUSRSA-N
,,,AH-191,CC(N(C(C)C)/N=N/c1ccccc1F)C,10.14272/HMWCJYSTQUMNPF-CCEZHUSRSA-N,https://dx.doi.org/10.14272/HMWCJYSTQUMNPF-CCEZHUSRSA-N
,,,AH-193,CC(N(C(C)C)/N=N/c1ccc(c(c1)Cl)C)C,10.14272/NVHGHDFTIUJLKZ-FOCLMDBBSA-N,https://dx.doi.org/10.14272/NVHGHDFTIUJLKZ-FOCLMDBBSA-N
,,,AH-197,CC(N(C(C)C)/N=N/c1ccc(cc1)I)C,10.14272/TZFWPFBBUPQHOJ-CCEZHUSRSA-N,https://dx.doi.org/10.14272/TZFWPFBBUPQHOJ-CCEZHUSRSA-N
,,,AH-199,CC(N(C(C)C)/N=N/c1cc(C)c(cc1[N+](=O)[O-])C)C,10.14272/ZVSKGHIPBYNYFF-FOCLMDBBSA-N,https://dx.doi.org/10.14272/ZVSKGHIPBYNYFF-FOCLMDBBSA-N
,,,AH-201,CC(N(C(C)C)/N=N/c1ccc(c(c1)[N+](=O)[O-])C)C,10.14272/XPDUYBGKBVEIJS-CCEZHUSRSA-N,https://dx.doi.org/10.14272/XPDUYBGKBVEIJS-CCEZHUSRSA-N
